,Name,Price,Currency,INR_Price
0,Apple,174.25,USD,14760.171222527439
1,Microsoft,312.64,USD,26482.754266920965
2,Tesla,245.98,USD,20836.194647445045
3,Amazon,140.52,USD,11903.008666798025
4,Google,138.18,USD,11704.794602748014
5,Meta,295.68,USD,25046.12583688329
6,Netflix,400.5,USD,33925.09942394398
7,IBM,135.72,USD,11496.415714900568
8,Intel,52.45,USD,4442.875068129493
9,NVIDIA,481.87,USD,40817.69702725565
10,Samsung,850.75,KRW,50.90317869115154
11,Sony,125.25,JPY,70.51206495445123
12,LG,98.5,KRW,5.893579901355777
13,Dell,325.7,USD,27589.025923541958
14,HP,275.45,USD,23332.505958365466
15,Asus,150.35,EUR,13360.614745949999
16,Acer,98.2,EUR,8726.3875494
17,Lenovo,120.8,USD,10232.589936266666
18,Panasonic,199.95,JPY,112.56596716680659
19,Toshiba,215.6,USD,18262.801243866666
20,gf,50.0,INR,50.0
